City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,fale old settlement,-9.3852,-171.2468,84.7,71,100,3.98,TK,1715304995
137,san juan,-31.5375,-68.5364,54.88,29,97,2.93,AR,1715304973
138,salahonda,2.1019,-78.7217,81.07,81,98,6.31,CO,1715304996
139,trinity beach,-16.7888,145.6968,83.01,89,75,10.36,AU,1715304996
140,keflavik,64.0049,-22.5624,45.03,76,0,11.5,IS,1715304996
141,arraial do cabo,-22.9661,-42.0278,75.07,90,9,9.15,BR,1715304996
142,palmas,-10.2128,-48.3603,80.47,74,0,4.61,BR,1715304997
143,wamba,8.9333,8.6,81.27,66,100,2.44,NG,1715304997
144,kingston,17.997,-76.7936,85.15,74,40,13.8,JM,1715304532
145,sidrolandia,-20.9319,-54.9614,73.94,61,3,2.24,BR,1715304997
146,cudillero,43.5622,-6.1459,57.22,94,80,3.44,ES,1715304998
147,barra de santo antonio,-9.4047,-35.5072,78.08,77,83,10.6,BR,1715304998
148,menongue,-14.6585,17.691,56.32,43,5,4.74,AO,1715304998
149,vredendal,-31.6683,18.5012,50.27,94,0,2.75,ZA,1715304998
150,boende,-0.2167,20.8667,71.58,97,100,0.29,CD,1715304999
151,queenstown,-31.8976,26.8753,63.28,42,24,6.62,ZA,1715304999
152,forster,-32.1667,152.5167,67.37,81,84,7.09,AU,1715304999
153,al ghayzah,16.2079,52.176,84.72,77,24,6.82,YE,1715304999
154,vila franca do campo,37.7167,-25.4333,59.41,87,18,3.4,PT,1715305000
155,otofuke,42.9917,143.2003,59.95,52,45,15.39,JP,1715305000
156,anadyr,64.75,177.4833,25.3,68,75,4.47,RU,1715305000
157,hasaki,35.7333,140.8333,70.29,34,0,11.48,JP,1715305001
158,hamilton,39.1834,-84.5333,61.75,93,100,10.36,US,1715304894
159,tolanaro,-25.0319,46.9987,75.27,78,20,20.71,MG,1715305001
160,coahuayana de hidalgo,18.7,-103.6583,72.19,83,29,2.57,MX,1715305001
161,lepsy,46.235,78.9456,76.42,28,61,4.9,KZ,1715305002
162,dwarka,22.2394,68.9678,82.6,81,0,10.11,IN,1715305002
163,palmer,42.1584,-72.3287,60.96,64,75,9.22,US,1715305002
164,bukama,-9.2,25.85,65.77,67,86,3.18,CD,1715305003
165,motygino,58.1831,94.7592,42.78,71,100,3.0,RU,1715305003
166,mezhdurechenskiy,59.6,65.9333,37.2,67,3,9.48,RU,1715305003
167,bandarbeyla,9.4942,50.8122,83.12,77,92,6.2,SO,1715305003
168,alice springs,-23.7,133.8833,63.95,68,100,14.97,AU,1715305004
169,ilulissat,69.2167,-51.1,23.02,80,58,2.3,GL,1715305004
170,katsuura,35.1333,140.3,63.84,44,0,9.31,JP,1715305004
171,calama,-22.4667,-68.9333,59.49,21,0,6.91,CL,1715304881
172,naliya,23.2667,68.8333,82.31,75,0,11.27,IN,1715305005
173,karagandy,49.8019,73.1021,55.35,64,100,8.1,KZ,1715305005
174,greymouth,-42.4667,171.2,55.11,48,0,2.28,NZ,1715305005
175,yichang,30.7144,111.2847,78.01,59,99,4.21,CN,1715305005
176,hit,33.6416,42.8251,73.49,33,43,8.84,IQ,1715305006
177,acarau,-2.8856,-40.12,79.43,87,100,8.03,BR,1715305006
178,doka,13.5167,35.7667,84.22,15,76,6.91,SD,1715305006
179,alesund,62.4723,6.1549,42.75,87,59,8.05,NO,1715305006
180,goz beida,13.95,20.55,86.4,14,99,6.87,TD,1715305007
181,smithers,54.7804,-127.1743,71.92,28,20,10.36,CA,1715305007
182,remire-montjoly,4.9167,-52.2667,77.04,100,75,2.3,GF,1715305007
183,jamestown,42.097,-79.2353,54.99,88,100,6.91,US,1715305006
184,pailitas,8.9565,-73.6255,76.1,97,100,2.55,CO,1715305008
185,yanchep,-31.55,115.6833,77.13,74,88,12.39,AU,1715305008
186,kaa-khem,51.6833,94.7333,50.41,35,100,3.31,RU,1715305008
187,hermanus,-34.4187,19.2345,55.29,78,0,8.1,ZA,1715305008
188,vadso,70.0744,29.7487,30.36,80,100,9.22,NO,1715305009
189,santa ana,33.7456,-117.8678,75.25,70,40,12.66,US,1715304749
190,lazaro cardenas,17.9583,-102.2,75.81,76,96,5.95,MX,1715304747
191,brisas de zicatela,15.8369,-97.0419,81.12,83,0,5.75,MX,1715305009
192,necochea,-38.5473,-58.7368,47.53,58,75,9.62,AR,1715304745
193,antsiranana,-12.2787,49.2917,75.72,72,63,15.01,MG,1715305010
194,christchurch,-43.5333,172.6333,59.54,46,75,14.97,NZ,1715304997
195,port lincoln,-34.7333,135.8667,61.38,67,0,8.52,AU,1715305010
196,tucumcari,35.1717,-103.725,66.04,26,100,19.57,US,1715304799
197,tlahualilo de zaragoza,26.1167,-103.45,92.79,7,39,14.12,MX,1715305011
198,klyuchi,52.2667,79.1667,68.11,42,100,9.53,RU,1715305011
199,suva,-18.1416,178.4415,80.08,54,20,8.05,FJ,1715305011
200,manhush,47.0558,37.3107,42.53,100,7,9.62,UA,1715305011
201,zhezqazghan,47.7833,67.7667,50.58,87,75,8.95,KZ,1715305012
202,dawei,14.0833,98.2,88.79,60,40,3.69,MM,1715305012
203,papao,-17.75,-149.55,85.68,69,5,6.4,PF,1715305012
204,hastings,50.8552,0.5729,56.25,80,100,7.7,GB,1715305013
205,kenai,60.5544,-151.2583,41.14,78,75,9.22,US,1715305013
206,isiro,2.7739,27.616,68.22,99,100,2.53,CD,1715305013
207,piton saint-leu,-21.2196,55.3151,71.71,73,40,13.8,RE,1715305013
208,tuburan,6.6439,122.2736,86.09,69,37,3.89,PH,1715305013
209,talnakh,69.4865,88.3972,13.21,79,5,3.56,RU,1715305014
210,tual,-5.6667,132.75,82.44,80,28,13.58,ID,1715305014
211,sungai raya,0.7,108.9,86.79,67,16,1.86,ID,1715305014
212,gaspe,48.8334,-64.4819,41.22,70,75,2.3,CA,1715305014
213,copala,16.65,-98.9833,77.99,70,100,4.52,MX,1715305015
214,bratsk,56.1325,101.6142,43.29,59,12,7.07,RU,1715305015
215,santo antonio do ica,-3.1022,-67.9397,76.15,94,94,1.79,BR,1715305015
216,longquan,24.6719,102.1613,69.37,71,90,7.2,CN,1715305016
217,salida,37.7058,-121.0849,84.78,21,0,0.0,US,1715305016
218,nelson bay,-32.7167,152.15,69.01,88,100,1.01,AU,1715305016
219,gadzhiyevo,69.2551,33.3362,29.93,85,100,12.15,RU,1715305016
220,el alto,-4.2714,-81.2147,67.66,81,98,12.95,PE,1715305016
221,kalabo,-14.97,22.6814,58.84,47,31,6.35,ZM,1715305017
222,fernandopolis,-20.2839,-50.2464,69.94,51,5,6.38,BR,1715304861
223,saint-joseph,-21.3667,55.6167,73.78,71,52,13.78,RE,1715305017
224,santa terezinha,-29.9002,-50.0904,60.76,67,92,3.49,BR,1715305017
225,arrifes,37.7667,-25.7,57.45,82,20,4.61,PT,1715305018
226,port saint john's,-31.6229,29.5448,69.04,60,5,4.21,ZA,1715304859
227,vilyuchinsk,52.9306,158.4028,50.27,64,14,9.98,RU,1715305018
228,baiti,13.745,-14.7482,81.32,61,13,15.39,SN,1715305019
229,vodnyy,63.5046,53.4095,23.41,93,68,6.31,RU,1715305019
230,great bend,38.3645,-98.7648,66.33,45,0,11.5,US,1715304665
231,rio grande,-32.035,-52.0986,53.71,70,99,5.41,BR,1715304851
232,labrador city,52.9463,-66.9114,37.31,52,0,3.44,CA,1715305020
233,banjar,-8.19,114.9675,86.83,63,66,2.71,ID,1715305021
234,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,66,75,17.9,RU,1715305021
235,commercy,48.75,5.5,52.5,90,3,5.84,FR,1715305021
236,fortuna,40.5982,-124.1573,70.72,43,0,11.5,US,1715304933
237,mcpherson,38.3708,-97.6642,69.89,49,3,9.51,US,1715305021
238,kerikeri,-35.2268,173.9474,65.91,51,1,11.99,NZ,1715305022
239,extremoz,-5.7056,-35.3072,77.45,88,75,5.75,BR,1715305022
240,st. john's,47.5649,-52.7093,39.15,89,75,4.61,CA,1715304939
241,jiexiu,37.0244,111.9125,77.38,46,86,10.02,CN,1715305023
242,walvis bay,-22.9575,14.5053,59.95,82,36,4.61,,1715305023
243,salym,60.0625,71.4789,40.51,71,32,11.92,RU,1715305023
244,tahoua,14.8888,5.2692,89.26,34,9,8.81,NE,1715305024
245,akureyri,65.6835,-18.0878,39.13,65,0,3.44,IS,1715305024
246,glace bay,46.1969,-59.957,38.98,97,100,11.5,CA,1715305024
247,cao bang,22.6667,106.25,79.81,79,94,5.48,VN,1715305024
248,mount pearl,47.5166,-52.7813,38.32,89,75,4.61,CA,1715305026
249,yemetsk,63.4721,41.7941,26.87,93,100,10.07,RU,1715305026
250,stanley,54.868,-1.6985,51.78,92,0,3.44,GB,1715305026
251,rio verde de mato grosso,-18.9181,-54.8442,76.19,54,11,3.6,BR,1715305026
252,arkhara,49.4212,130.0842,51.76,31,100,5.99,RU,1715305027
253,kailua-kona,19.6406,-155.9956,84.16,77,40,16.11,US,1715305009
254,fort abbas,29.1925,72.8536,95.13,16,9,11.23,PK,1715305027
255,adis zemen,12.1167,37.7833,70.63,42,100,5.32,ET,1715305027
256,lihue,21.9789,-159.3672,78.46,67,20,8.05,US,1715305028
257,haflong,25.1833,93.0333,65.46,99,100,2.37,IN,1715305028
258,sinabang,2.4803,96.3801,83.48,82,100,4.14,ID,1715305028
259,saldanha,-33.0117,17.9442,46.45,91,28,12.77,ZA,1715305028
260,xilin hot,43.9667,116.0333,61.63,27,100,20.33,CN,1715305029
261,zahedan,29.4963,60.8629,62.51,63,100,11.5,IR,1715305029
262,antonio enes,-16.2325,39.9086,73.62,83,5,5.68,MZ,1715305029
263,belleville,44.1788,-77.3705,55.26,72,75,0.0,CA,1715304962
264,east london,-33.0153,27.9116,67.24,86,35,4.97,ZA,1715305030
265,onguday,50.75,86.15,61.65,44,50,4.32,RU,1715305030
266,bazarak,35.3129,69.5152,51.37,83,100,9.62,AF,1715305030
267,cooma,-36.2333,149.1333,51.84,77,100,5.91,AU,1715305031
268,latnaya,51.6586,38.9011,32.32,64,0,6.55,RU,1715305031
269,aqaba,29.5267,35.0078,78.66,19,0,0.0,JO,1715305032
270,kandi,11.1342,2.9386,86.56,47,85,6.29,BJ,1715305032
271,kani keli,-12.9536,45.1033,81.66,69,0,20.65,YT,1715305033
272,coulounieix,45.1529,0.6885,49.86,79,22,5.48,FR,1715305033
273,namibe,-15.1961,12.1522,72.3,72,2,8.43,AO,1715305033
274,kitaibaraki,36.7833,140.75,70.25,56,2,1.01,JP,1715305033
275,vila velha,-20.3297,-40.2925,78.75,94,20,4.61,BR,1715304937
276,enewetak,11.3474,162.3373,81.63,75,100,19.44,MH,1715305034
277,severo-yeniseyskiy,60.3725,93.0408,36.57,89,100,4.0,RU,1715305034
278,cidade velha,14.9167,-23.6167,75.67,60,0,12.66,CV,1715305035
279,usogorsk,63.4106,48.6872,27.66,96,94,2.26,RU,1715305035
280,okha,53.5739,142.9478,38.25,93,100,5.99,RU,1715305035
281,marat,25.0701,45.4615,74.16,23,4,8.97,SA,1715305035
282,as sulayyil,20.4607,45.5779,82.65,27,53,13.89,SA,1715305036
283,usinsk,65.9939,57.5281,30.07,97,100,3.0,RU,1715305036
284,kavieng,-2.5744,150.7967,83.25,77,79,5.5,PG,1715305036
285,villa rica,33.7321,-84.9191,71.38,96,1,1.01,US,1715305036
286,ende,-8.8432,121.6623,83.52,67,15,5.39,ID,1715305037
287,mar del plata,-38.0023,-57.5575,51.87,64,0,5.01,AR,1715304788
288,anse royale,-4.7333,55.5167,79.38,89,40,3.44,SC,1715305037
289,vizinga,61.0749,50.1031,26.92,89,99,6.69,RU,1715305037
290,bolivar,37.6145,-93.4105,68.76,85,0,7.05,US,1715305038
291,lospalos,-8.5186,127.0025,79.18,79,27,11.1,TL,1715305038
292,forest lake,45.2789,-92.9852,62.64,75,0,5.23,US,1715305039
293,abadiania,-16.2042,-48.7069,68.92,74,0,2.73,BR,1715305039
294,isla mujeres,21.2311,-86.731,84.25,88,15,13.89,MX,1715305039
295,sturgis,41.7992,-85.4192,52.07,94,100,3.44,US,1715304782
296,quellon,-43.1167,-73.6167,42.37,89,15,5.28,CL,1715305040
297,chulakkurgan,43.765,69.1814,60.4,65,100,5.86,KZ,1715305041
298,san patricio,28.017,-97.5169,84.92,81,0,11.56,US,1715305041
299,mildura,-34.2,142.15,65.07,71,11,7.23,AU,1715305041
300,mantua,45.1667,10.7833,65.44,78,100,1.01,IT,1715305042
301,canto do buriti,-8.11,-42.9444,78.6,62,100,3.24,BR,1715305042
302,lompoc,34.6391,-120.4579,66.09,71,0,9.22,US,1715304711
303,xichang,27.8964,102.2634,69.62,63,57,6.4,CN,1715305042
304,mahad,18.0833,73.4167,81.14,80,0,0.72,IN,1715305043
305,tocoa,15.6833,-86.0,83.61,78,100,4.34,HN,1715304779
306,udachny,66.4167,112.4,15.44,94,100,11.81,RU,1715305044
307,klin,56.3333,36.7333,31.8,67,17,7.7,RU,1715305044
308,itoman,26.1247,127.6694,77.77,56,75,11.5,JP,1715305044
309,zeya,53.75,127.2667,52.48,32,98,2.51,RU,1715305045
310,prince rupert,54.3161,-130.3201,53.69,80,75,10.36,CA,1715305045
311,tessaoua,13.7574,7.9874,86.63,30,40,7.87,NE,1715305045
312,pavlodar,52.3,76.95,64.2,72,75,17.9,KZ,1715304951
313,santa ana de yacuma,-13.75,-65.4333,77.41,84,56,5.08,BO,1715305046
314,plouzane,48.3833,-4.6167,55.45,82,0,10.36,FR,1715305046
315,liwale,-9.7667,37.9333,65.23,98,13,4.9,TZ,1715305046
316,miri,4.4148,114.0089,89.74,70,20,3.44,MY,1715305046
317,kudat,6.8837,116.8477,87.73,74,20,6.91,MY,1715305046
318,kolokani,13.5728,-8.0339,87.76,36,24,6.33,ML,1715305047
319,bargaal,11.2864,51.0773,82.44,82,66,7.02,SO,1715305047
320,dunedin,-45.8742,170.5036,46.8,94,78,8.01,NZ,1715305047
321,thunder bay,48.4001,-89.3168,49.98,50,20,4.61,CA,1715304620
322,cacu,-18.5567,-51.1308,69.42,57,5,3.42,BR,1715304940
323,paracuru,-3.41,-39.0306,83.1,88,100,7.65,BR,1715305048
324,soe,-9.8607,124.284,77.95,57,6,6.24,ID,1715305048
325,mana,5.6592,-53.7767,78.46,89,100,11.56,GF,1715305048
326,rongelap,11.1635,166.8941,81.1,81,48,18.21,MH,1715305049
327,lagos,6.5833,3.75,82.72,84,100,5.86,NG,1715304902
328,minas de marcona,-15.2119,-75.1103,55.99,85,78,12.86,PE,1715305049
329,nizhnyaya poyma,56.1622,97.1933,47.64,54,93,3.65,RU,1715305049
330,badger,64.8,-147.5333,55.31,43,75,11.5,US,1715305050
331,begusarai,25.4167,86.1333,82.17,63,8,10.16,IN,1715305050
332,neelankarai,12.9455,80.2575,87.08,83,40,5.75,IN,1715305050
333,plettenberg bay,-34.0527,23.3716,54.9,89,0,3.2,ZA,1715305051
334,cles,46.3667,11.0333,55.49,75,56,2.15,IT,1715305051
335,assab,13.0092,42.7394,86.61,72,7,12.84,ER,1715305051
336,bako,5.7833,36.5667,63.03,91,100,3.96,ET,1715305051
337,schelklingen,48.3758,9.7327,45.91,93,17,3.85,DE,1715305052
338,lib,8.3122,167.3766,81.97,84,100,18.75,MH,1715305052
339,hammerfest,70.6634,23.6821,34.25,93,100,4.61,NO,1715305052
340,tagiura,32.8817,13.3506,63.95,77,12,13.87,LY,1715305052
341,berriane,32.8265,3.7669,65.21,28,57,1.1,DZ,1715305053
342,yakeshi,49.2833,120.7333,47.35,74,100,18.16,CN,1715305053
343,murovani kurylivtsi,48.7235,27.5189,47.8,70,61,4.32,UA,1715305053
344,luderitz,-26.6481,15.1594,55.33,85,0,15.66,,1715305053
345,gifford,27.6753,-80.4092,83.05,81,0,9.22,US,1715305054
346,quatre cocos,-20.2078,57.7625,75.31,75,91,20.24,MU,1715305054
347,sambava,-14.2667,50.1667,74.84,78,70,11.54,MG,1715305055
348,hoemul-li,41.4339,129.67,58.51,67,100,4.47,KP,1715305055
349,chelsea,51.4875,-0.1694,57.33,86,100,3.44,GB,1715305055
350,belmonte,-15.8631,-38.8828,77.0,83,3,4.05,BR,1715305055
351,midvagur,62.0511,-7.1939,45.43,100,100,13.8,FO,1715305056
352,gobabis,-22.45,18.9667,62.62,34,0,11.43,,1715305056
353,kalmunai,7.4167,81.8167,81.88,81,100,4.36,LK,1715305057
354,ponta delgada,37.7333,-25.6667,59.72,82,20,4.61,PT,1715305057
355,peace river,56.2501,-117.286,75.51,23,75,14.97,CA,1715304889
356,bengkulu,-3.8004,102.2655,83.8,71,24,2.3,ID,1715305058
357,kayangel,8.0823,134.7173,82.11,78,100,3.6,PW,1715305058
358,ankang,32.68,109.0172,75.96,66,33,2.68,CN,1715305058
359,novaya igirma,57.1334,103.9112,43.47,56,12,6.17,RU,1715305058
360,prainha,-1.8,-53.48,76.06,96,100,3.04,BR,1715305059
361,bairnsdale,-37.8333,147.6167,66.06,73,71,1.99,AU,1715305032
362,xining,36.6167,101.7667,52.97,63,100,12.53,CN,1715305059
363,luebo,-5.35,21.4167,70.2,98,100,1.43,CD,1715305060
364,luau,-10.7073,22.2247,60.78,60,100,3.36,AO,1715305060
365,san luis de la loma,17.2706,-100.8939,77.32,77,100,6.17,MX,1715305060
